KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
53350000,0,,,85,44,41,8,4,4,77,40,37,42,26,16,76,40,36,73,37,36,35,14,21,18,9,9,6,2,4,1,0,1,1,1,0,30,30,4,11,5,7,2,1,0,26,18,8,3,21,0,4,7
53350002,1,,53350012,29,16,13,2,0,2,31,18,13,12,8,4,30,17,13,29,17,12,19,10,9,11,5,6,4,3,1,0,0,0,0,0,0,13,13,5,5,3,1,1,0,0,10,9,1,1,13,0,4,4
53350003,0,,,24,9,15,3,0,3,21,9,12,8,4,4,21,9,12,21,9,12,13,5,8,6,2,4,4,1,3,0,0,0,0,0,0,11,11,3,6,1,0,0,1,0,8,6,2,1,10,0,2,4
53350005,0,,,201,98,103,39,20,19,162,78,84,113,54,59,155,75,80,152,73,79,49,24,25,21,7,14,6,1,5,1,0,1,4,2,2,75,75,16,22,17,14,3,2,1,59,51,8,9,35,0,9,13
53350006,0,,,479,229,250,59,36,23,420,193,227,237,117,120,409,187,222,402,183,219,183,76,107,93,38,55,39,15,24,5,2,3,15,8,7,188,188,39,76,33,23,9,5,3,148,121,27,15,123,0,32,44
53350007,0,,,274,134,140,21,12,9,252,121,131,115,62,53,248,120,128,244,118,126,137,59,78,64,30,34,21,6,15,2,1,1,0,0,0,118,118,34,39,29,9,3,4,0,83,70,13,4,88,0,28,24
53350008,0,,,115,51,64,9,7,2,106,44,62,42,17,25,106,44,62,106,44,62,64,27,37,32,12,20,10,5,5,0,0,0,0,0,0,51,51,16,18,9,6,1,0,1,35,30,5,1,43,0,14,13
53350009,0,,,59,33,26,2,2,0,57,31,26,28,20,8,56,31,25,55,30,25,29,11,18,18,4,14,7,3,4,1,0,1,0,0,0,31,31,14,10,3,4,0,0,0,17,16,1,0,22,0,10,5
53350010,0,,,24,13,11,0,0,0,24,13,11,7,5,2,24,13,11,23,12,11,17,8,9,9,4,5,5,2,3,0,0,0,0,0,0,11,11,2,7,1,0,1,0,0,9,8,1,0,10,0,1,5
