year,gdp,ISO3
1800,583,AFG
1800,452,AGO
1800,569,ALB
1800,1660,AND
1800,1390,ARE
1800,2060,ARG
1800,713,ARM
1800,1050,ATG
1800,995,AUS
1800,2360,AUT
1800,879,AZE
1800,644,BDI
1800,3220,BEL
1800,1010,BEN
1800,722,BFA
1800,935,BGD
1800,1380,BGR
1800,1040,BHR
1800,2010,BHS
1800,1200,BIH
1800,1110,BLR
1800,804,BLZ
1800,1120,BOL
1800,1200,BRA
1800,1580,BRB
1800,2100,BRN
1800,873,BTN
1800,434,BWA
1800,593,CAF
1800,1720,CAN
1800,2640,CHE
1800,1180,CHL
1800,1290,CHN
1800,708,
1800,722,CMR
1800,430,
1800,697,
1800,1310,COL
1800,717,COM
1800,597,CPV
1800,1110,CRI
1800,859,CUB
1800,1180,CYP
1800,1980,CZE
1800,2180,DEU
1800,1130,DJI
1800,652,DMA
1800,2480,DNK
1800,791,DOM
1800,925,DZA
1800,635,ECU
1800,1320,EGY
1800,738,ERI
1800,2040,ESP
1800,1930,EST
1800,868,ETH
1800,1680,FIN
1800,1090,FJI
1800,2480,FRA
1800,719,
1800,608,GAB
1800,4640,GBR
1800,944,GEO
1800,920,GHA
1800,527,GIN
1800,964,GMB
1800,596,GNB
1800,442,GNQ
1800,1580,GRC
1800,1330,GRD
1800,1240,GTM
1800,1680,GUY
1800,1640,
1800,895,HND
1800,1090,HRV
1800,880,HTI
1800,1530,HUN
1800,1250,IDN
1800,1440,IND
1800,1590,IRL
1800,1220,IRN
1800,1210,IRQ
1800,1390,ISL
1800,1310,ISR
1800,3340,ITA
1800,1550,JAM
1800,1220,JOR
1800,1830,JPN
1800,1430,KAZ
1800,894,KEN
1800,705,
1800,867,KHM
1800,765,KIR
1800,1620,
1800,1130,KOR
1800,1520,KWT
1800,1030,
1800,1480,LBN
1800,1110,LBR
1800,1250,LBY
1800,783,
1800,1220,LKA
1800,533,LSO
1800,1670,LTU
1800,2190,LUX
1800,1180,LVA
1800,966,MAR
1800,2700,MCO
1800,895,MDA
1800,628,MDG
1800,1170,MDV
1800,1810,MEX
1800,748,MHL
1800,868,MKD
1800,847,MLI
1800,1070,MLT
1800,1110,MMR
1800,1470,MNE
1800,597,MNG
1800,500,MOZ
1800,652,MRT
1800,1440,MUS
1800,530,MWI
1800,1330,MYS
1800,727,NAM
1800,637,NER
1800,1150,NGA
1800,1350,NIC
1800,5810,NLD
1800,1860,NOR
1800,890,NPL
1800,769,NRU
1800,1140,NZL
1800,490,OMN
1800,1300,PAK
1800,1110,PAN
1800,1470,PER
1800,1290,PHL
1800,1160,PLW
1800,758,PNG
1800,1250,POL
1800,1070,
1800,2020,PRT
1800,1080,PRY
1800,1180,
1800,1520,QAT
1800,576,ROU
1800,1940,RUS
1800,598,RWA
1800,1090,SAU
1800,684,SDN
1800,690,SEN
1800,1120,SGP
1800,504,SLB
1800,1010,SLE
1800,1210,SLV
1800,1940,SMR
1800,963,SOM
1800,1790,SRB
1800,705,SSD
1800,1080,STP
1800,2270,SUR
1800,1740,
1800,2140,SVN
1800,1900,SWE
1800,644,SWZ
1800,1100,SYC
1800,1500,SYR
1800,504,TCD
1800,913,TGO
1800,1260,THA
1800,772,TJK
1800,1310,TKM
1800,723,TLS
1800,920,TON
1800,1710,TTO
1800,947,TUN
1800,1330,TUR
1800,998,TUV
1800,1340,TWN
1800,592,TZA
1800,662,UGA
1800,1060,UKR
1800,2550,URY
1800,3530,USA
1800,743,UZB
1800,1160,VCT
1800,1490,VEN
1800,1170,VNM
1800,812,VUT
1800,1940,WSM
1800,1220,YEM
1800,2120,ZAF
1800,646,ZMB
1800,1170,ZWE
1801,583,AFG
1801,454,AGO
1801,571,ALB
1801,1660,AND
1801,1390,ARE
1801,2070,ARG
1801,715,ARM
1801,1050,ATG
1801,1000,AUS
1801,2360,AUT
1801,879,AZE
1801,644,BDI
1801,3230,BEL
1801,1010,BEN
1801,724,BFA
1801,935,BGD
1801,1390,BGR
1801,1040,BHR
1801,2010,BHS
1801,1200,BIH
1801,1110,BLR
1801,804,BLZ
1801,1120,BOL
1801,1200,BRA
1801,1590,BRB
1801,2100,BRN
1801,873,BTN
1801,436,BWA
1801,593,CAF
1801,1730,CAN
1801,2650,CHE
1801,1180,CHL
1801,1280,CHN
1801,708,
1801,724,CMR
1801,430,
1801,698,
1801,1300,COL
1801,719,COM
1801,597,CPV
1801,1110,CRI
1801,866,CUB
1801,1180,CYP
1801,1980,CZE
1801,2180,DEU
1801,1130,DJI
1801,652,DMA
1801,2480,DNK
1801,791,DOM
1801,926,DZA
1801,635,ECU
1801,1320,EGY
1801,738,ERI
1801,2050,ESP
1801,1930,EST
1801,868,ETH
1801,1690,FIN
1801,1090,FJI
1801,2490,FRA
1801,719,
1801,608,GAB
1801,4650,GBR
1801,944,GEO
1801,920,GHA
1801,527,GIN
1801,964,GMB
1801,596,GNB
1801,442,GNQ
1801,1580,GRC
1801,1330,GRD
1801,1240,GTM
1801,1680,GUY
1801,1640,
1801,895,HND
1801,1100,HRV
1801,880,HTI
1801,1530,HUN
1801,1240,IDN
1801,1430,IND
1801,1600,IRL
1801,1220,IRN
1801,1210,IRQ
1801,1390,ISL
1801,1310,ISR
1801,3290,ITA
1801,1550,JAM
1801,1220,JOR
1801,1830,JPN
1801,1430,KAZ
1801,894,KEN
1801,710,
1801,869,KHM
1801,765,KIR
1801,1620,
1801,1130,KOR
1801,1530,KWT
1801,1030,
1801,1480,LBN
1801,1110,LBR
1801,1250,LBY
1801,784,
1801,1220,LKA
1801,533,LSO
1801,1670,LTU
1801,2190,LUX
1801,1180,LVA
1801,966,MAR
1801,2710,MCO
1801,895,MDA
1801,628,MDG
1801,1170,MDV
1801,1800,MEX
1801,748,MHL
1801,868,MKD
1801,847,MLI
1801,1080,MLT
1801,1110,MMR
1801,1460,MNE
1801,597,MNG
1801,500,MOZ
1801,652,MRT
1801,1440,MUS
1801,530,MWI
1801,1330,MYS
1801,727,NAM
1801,637,NER
1801,1150,NGA
1801,1350,NIC
1801,5700,NLD
1801,1860,NOR
1801,890,NPL
1801,769,NRU
1801,1140,NZL
1801,490,OMN
1801,1300,PAK
1801,1110,PAN
1801,1390,PER
1801,1290,PHL
1801,1160,PLW
1801,758,PNG
1801,1220,POL
1801,1070,
1801,1930,PRT
1801,1080,PRY
1801,1190,
1801,1530,QAT
1801,576,ROU
1801,1940,RUS
1801,602,RWA
1801,1090,SAU
1801,684,SDN
1801,690,SEN
1801,1120,SGP
1801,504,SLB
1801,1010,SLE
1801,1210,SLV
1801,1950,SMR
1801,963,SOM
1801,1790,SRB
1801,705,SSD
1801,1080,STP
1801,2270,SUR
1801,1740,
1801,2140,SVN
1801,1880,SWE
1801,644,SWZ
1801,1100,SYC
1801,1500,SYR
1801,504,TCD
1801,913,TGO
1801,1260,THA
1801,774,TJK
1801,1310,TKM
1801,724,TLS
1801,920,TON
1801,1710,TTO
1801,947,TUN
1801,1330,TUR
1801,998,TUV
1801,1340,TWN
1801,592,TZA
1801,662,UGA
1801,1060,UKR
1801,2560,URY
1801,3600,USA
1801,743,UZB
