pop,ISO3
583,AFG
452,AGO
569,ALB
1660,AND
1390,ARE
2060,ARG
713,ARM
1050,ATG
995,AUS
2360,AUT
879,AZE
644,BDI
3220,BEL
1010,BEN
722,BFA
935,BGD
1380,BGR
1040,BHR
2010,BHS
1200,BIH
1110,BLR
804,BLZ
1120,BOL
1200,BRA
1580,BRB
2100,BRN
873,BTN
434,BWA
593,CAF
1720,CAN
2640,CHE
1180,CHL
1290,CHN
708,
722,CMR
430,
697,
1310,COL
717,COM
597,CPV
1110,CRI
859,CUB
1180,CYP
1980,CZE
2180,DEU
1130,DJI
652,DMA
2480,DNK
791,DOM
925,DZA
635,ECU
1320,EGY
738,ERI
2040,ESP
1930,EST
868,ETH
1680,FIN
1090,FJI
2480,FRA
719,
608,GAB
4640,GBR
944,GEO
920,GHA
527,GIN
964,GMB
596,GNB
442,GNQ
1580,GRC
1330,GRD
1240,GTM
1680,GUY
1640,
895,HND
1090,HRV
880,HTI
1530,HUN
1250,IDN
1440,IND
1590,IRL
1220,IRN
1210,IRQ
1390,ISL
1310,ISR
3340,ITA
1550,JAM
1220,JOR
1830,JPN
1430,KAZ
894,KEN
705,
867,KHM
765,KIR
1620,
1130,KOR
1520,KWT
1030,
1480,LBN
1110,LBR
1250,LBY
783,
1220,LKA
533,LSO
1670,LTU
2190,LUX
1180,LVA
966,MAR
2700,MCO
895,MDA
628,MDG
1170,MDV
1810,MEX
748,MHL
868,MKD
847,MLI
1070,MLT
1110,MMR
1470,MNE
597,MNG
500,MOZ
652,MRT
1440,MUS
530,MWI
1330,MYS
727,NAM
637,NER
1150,NGA
1350,NIC
5810,NLD
1860,NOR
890,NPL
769,NRU
1140,NZL
490,OMN
1300,PAK
1110,PAN
1470,PER
1290,PHL
1160,PLW
758,PNG
1250,POL
1070,
2020,PRT
1080,PRY
1180,
1520,QAT
576,ROU
1940,RUS
598,RWA
1090,SAU
684,SDN
690,SEN
1120,SGP
504,SLB
1010,SLE
1210,SLV
1940,SMR
963,SOM
1790,SRB
705,SSD
1080,STP
2270,SUR
1740,
2140,SVN
1900,SWE
644,SWZ
1100,SYC
1500,SYR
504,TCD
913,TGO
1260,THA
772,TJK
1310,TKM
723,TLS
920,TON
1710,TTO
947,TUN
1330,TUR
998,TUV
1340,TWN
592,TZA
662,UGA
1060,UKR
2550,URY
3530,USA
743,UZB
1160,VCT
1490,VEN
1170,VNM
812,VUT
1940,WSM
1220,YEM
2120,ZAF
646,ZMB
1170,ZWE
583,AFG
454,AGO
571,ALB
1660,AND
1390,ARE
2070,ARG
715,ARM
1050,ATG
1000,AUS
2360,AUT
879,AZE
644,BDI
3230,BEL
1010,BEN
724,BFA
935,BGD
1390,BGR
1040,BHR
2010,BHS
1200,BIH
1110,BLR
804,BLZ
1120,BOL
1200,BRA
1590,BRB
2100,BRN
873,BTN
436,BWA
593,CAF
1730,CAN
2650,CHE
1180,CHL
1280,CHN
708,
724,CMR
430,
698,
1300,COL
719,COM
597,CPV
1110,CRI
866,CUB
1180,CYP
1980,CZE
2180,DEU
1130,DJI
652,DMA
2480,DNK
791,DOM
926,DZA
635,ECU
1320,EGY
738,ERI
2050,ESP
1930,EST
868,ETH
1690,FIN
1090,FJI
2490,FRA
719,
608,GAB
4650,GBR
944,GEO
920,GHA
527,GIN
964,GMB
596,GNB
442,GNQ
1580,GRC
1330,GRD
1240,GTM
1680,GUY
1640,
895,HND
1100,HRV
880,HTI
1530,HUN
1240,IDN
1430,IND
1600,IRL
1220,IRN
1210,IRQ
1390,ISL
1310,ISR
3290,ITA
1550,JAM
1220,JOR
1830,JPN
1430,KAZ
894,KEN
710,
869,KHM
765,KIR
1620,
1130,KOR
1530,KWT
1030,
1480,LBN
1110,LBR
1250,LBY
784,
1220,LKA
533,LSO
1670,LTU
2190,LUX
1180,LVA
966,MAR
2710,MCO
895,MDA
628,MDG
1170,MDV
1800,MEX
748,MHL
868,MKD
847,MLI
1080,MLT
1110,MMR
1460,MNE
597,MNG
500,MOZ
652,MRT
1440,MUS
530,MWI
1330,MYS
727,NAM
637,NER
1150,NGA
1350,NIC
5700,NLD
