year,life span,ISO3
1800,28.2,AFG
1800,27.0,AGO
1800,35.4,ALB
1800,,AND
1800,30.7,ARE
1800,33.2,ARG
1800,34.0,ARM
1800,33.5,ATG
1800,34.0,AUS
1800,34.4,AUT
1800,29.2,AZE
1800,31.5,BDI
1800,40.0,BEL
1800,31.0,BEN
1800,29.2,BFA
1800,25.5,BGD
1800,35.8,BGR
1800,30.3,BHR
1800,35.2,BHS
1800,35.1,BIH
1800,36.2,BLR
1800,26.5,BLZ
1800,33.0,BOL
1800,32.0,BRA
1800,32.1,BRB
1800,29.2,BRN
1800,28.8,BTN
1800,33.6,BWA
1800,30.0,CAF
1800,39.0,CAN
1800,38.0,CHE
1800,32.0,CHL
1800,32.0,CHN
1800,31.2,
1800,28.8,CMR
1800,31.6,
1800,32.7,
1800,32.0,COL
1800,32.1,COM
1800,33.8,CPV
1800,30.2,CRI
1800,32.2,CUB
1800,38.5,CYP
1800,35.0,CZE
1800,38.4,DEU
1800,29.9,DJI
1800,,DMA
1800,37.4,DNK
1800,29.9,DOM
1800,28.8,DZA
1800,32.9,ECU
1800,33.0,EGY
1800,30.2,ERI
1800,29.5,ESP
1800,36.1,EST
1800,29.7,ETH
1800,36.6,FIN
1800,26.1,FJI
1800,34.0,FRA
1800,26.7,
1800,30.6,GAB
1800,38.6,GBR
1800,31.9,GEO
1800,28.0,GHA
1800,29.5,GIN
1800,28.8,GMB
1800,32.0,GNB
1800,29.8,GNQ
1800,36.6,GRC
1800,31.4,GRD
1800,25.8,GTM
1800,31.1,GUY
1800,34.9,
1800,33.9,HND
1800,36.1,HRV
1800,29.0,HTI
1800,36.0,HUN
1800,30.0,IDN
1800,25.4,IND
1800,38.3,IRL
1800,25.6,IRN
1800,31.2,IRQ
1800,42.9,ISL
1800,32.0,ISR
1800,29.7,ITA
1800,34.2,JAM
1800,31.7,JOR
1800,36.4,JPN
1800,26.2,KAZ
1800,25.5,KEN
1800,23.9,
1800,35.0,KHM
1800,24.9,KIR
1800,,
1800,25.8,KOR
1800,26.0,KWT
1800,31.9,
