year,pop,ISO3
1800,3.28M,AFG
1800,1.57M,AGO
1800,400k,ALB
1800,2650,AND
1800,40.2k,ARE
1800,534k,ARG
1800,413k,ARM
1800,37k,ATG
1800,200k,AUS
1800,3M,AUT
1800,880k,AZE
1800,899k,BDI
1800,3.25M,BEL
1800,637k,BEN
1800,1.67M,BFA
1800,19.2M,BGD
1800,2.25M,BGR
1800,64.5k,BHR
1800,27.4k,BHS
1800,852k,BIH
1800,2.36M,BLR
1800,25.5k,BLZ
1800,887k,BOL
1800,2.5M,BRA
1800,81.7k,BRB
1800,2260,BRN
1800,392k,BTN
1800,121k,BWA
1800,479k,CAF
1800,500k,CAN
1800,1.75M,CHE
1800,771k,CHL
1800,330M,CHN
1800,1.09M,
1800,1.86M,CMR
1800,5.16M,
1800,314k,
1800,1.21M,COL
1800,56.3k,COM
1800,55.7k,CPV
1800,53k,CRI
1800,272k,CUB
1800,184k,CYP
1800,5.52M,CZE
1800,18M,DEU
1800,22.8k,DJI
1800,19.9k,DMA
1800,1M,DNK
1800,150k,DOM
1800,2.5M,DZA
1800,500k,ECU
1800,3.5M,EGY
1800,205k,ERI
1800,11.5M,ESP
1800,334k,EST
1800,12M,ETH
1800,800k,FIN
1800,131k,FJI
1800,29M,FRA
1800,16.4k,
1800,158k,GAB
1800,10.8M,GBR
1800,1.07M,GEO
1800,2.02M,GHA
1800,984k,GIN
1800,103k,GMB
1800,218k,GNB
1800,80.4k,GNQ
1800,2.25M,GRC
1800,29.4k,GRD
1800,463k,GTM
1800,166k,GUY
1800,20k,
1800,130k,HND
1800,905,
1800,1.23M,HRV
1800,500k,HTI
1800,3.25M,HUN
1800,16.1M,IDN
1800,201M,IND
1800,5.25M,IRL
1800,6M,IRN
1800,1M,IRQ
1800,61.4k,ISL
1800,210k,ISR
1800,19M,ITA
1800,300k,JAM
1800,200k,JOR
1800,28M,JPN
1800,2.04M,KAZ
1800,2.57M,KEN
1800,530k,
1800,2.09M,KHM
1800,17.9k,KIR
1800,17.2k,
1800,9.39M,KOR
1800,81.3k,KWT
1800,470k,
1800,300k,LBN
1800,314k,LBR
1800,230k,LBY
1800,24k,
1800,5800,LIE
1800,1.75M,LKA
1800,276k,LSO
1800,779k,LTU
1800,127k,LUX
1800,591k,LVA
1800,2.5M,MAR
1800,7790,MCO
1800,713k,MDA
1800,1.5M,MDG
1800,42.4k,MDV
1800,5.1M,MEX
1800,5830,MHL
1800,392k,MKD
1800,1.4M,MLI
1800,134k,MLT
1800,6M,MMR
1800,127k,MNE
1800,600k,MNG
1800,2M,MOZ
1800,383k,MRT
1800,59k,MUS
1800,737k,MWI
1800,287k,MYS
1800,229k,NAM
1800,853k,NER
1800,12.1M,NGA
1800,186k,NIC
1800,2M,NLD
1800,900k,NOR
1800,4M,NPL
1800,1830,NRU
1800,200k,NZL
1800,300k,OMN
1800,13.1M,PAK
1800,75.6k,PAN
1800,1.27M,PER
1800,2.5M,PHL
1800,3880,PLW
1800,755k,PNG
1800,9M,POL
1800,4.34M,
1800,2.75M,PRT
1800,300k,PRY
1800,166k,
1800,14.1k,QAT
1800,5.5M,ROU
1800,31.3M,RUS
1800,928k,RWA
1800,2M,SAU
1800,3.99M,SDN
1800,1.01M,SEN
1800,30k,SGP
1800,57k,SLB
1800,794k,SLE
1800,248k,SLV
1800,5490,SMR
1800,989k,SOM
1800,2.15M,SRB
1800,1.03M,SSD
1800,22.7k,STP
1800,80.7k,SUR
1800,2.14M,
1800,470k,SVN
1800,2.5M,SWE
1800,86k,SWZ
1800,12.5k,SYC
1800,1.25M,SYR
1800,1.43M,TCD
1800,446k,TGO
1800,3M,THA
1800,467k,TJK
1800,367k,TKM
1800,137k,TLS
1800,18.7k,TON
1800,20k,TTO
1800,800k,TUN
1800,9.76M,TUR
1800,2500,TUV
1800,2M,TWN
1800,3M,TZA
1800,2.5M,UGA
1800,11.2M,UKR
1800,55k,URY
1800,6M,USA
1800,1.92M,UZB
1800,25.8k,VCT
1800,1M,VEN
1800,4M,VNM
1800,27.8k,VUT
1800,47.3k,WSM
1800,2.59M,YEM
1800,1.45M,ZAF
1800,747k,ZMB
1800,1.09M,ZWE
1801,3.28M,AFG
1801,1.57M,AGO
1801,402k,ALB
1801,2650,AND
1801,40.2k,ARE
1801,520k,ARG
1801,413k,ARM
1801,37k,ATG
1801,205k,AUS
1801,3.02M,AUT
1801,880k,AZE
1801,899k,BDI
1801,3.26M,BEL
1801,637k,BEN
1801,1.67M,BFA
1801,19.2M,BGD
1801,2.25M,BGR
1801,64.5k,BHR
1801,27.4k,BHS
1801,852k,BIH
1801,2.36M,BLR
1801,25.5k,BLZ
1801,897k,BOL
1801,2.57M,BRA
1801,81.7k,BRB
1801,2260,BRN
1801,392k,BTN
1801,121k,BWA
1801,479k,CAF
1801,512k,CAN
1801,1.76M,CHE
1801,771k,CHL
1801,332M,CHN
1801,1.09M,
1801,1.86M,CMR
1801,5.16M,
1801,314k,
1801,1.21M,COL
