pop,ISO3
3.28M,AFG
1.57M,AGO
400k,ALB
2650,AND
40.2k,ARE
534k,ARG
413k,ARM
37k,ATG
200k,AUS
3M,AUT
880k,AZE
899k,BDI
3.25M,BEL
637k,BEN
1.67M,BFA
19.2M,BGD
2.25M,BGR
64.5k,BHR
27.4k,BHS
852k,BIH
2.36M,BLR
25.5k,BLZ
887k,BOL
2.5M,BRA
81.7k,BRB
2260,BRN
392k,BTN
121k,BWA
479k,CAF
500k,CAN
1.75M,CHE
771k,CHL
330M,CHN
1.09M,
1.86M,CMR
5.16M,
314k,
1.21M,COL
56.3k,COM
55.7k,CPV
53k,CRI
272k,CUB
184k,CYP
5.52M,CZE
18M,DEU
22.8k,DJI
19.9k,DMA
1M,DNK
150k,DOM
2.5M,DZA
500k,ECU
3.5M,EGY
205k,ERI
11.5M,ESP
334k,EST
12M,ETH
800k,FIN
131k,FJI
29M,FRA
16.4k,
158k,GAB
10.8M,GBR
1.07M,GEO
2.02M,GHA
984k,GIN
103k,GMB
218k,GNB
80.4k,GNQ
2.25M,GRC
29.4k,GRD
463k,GTM
166k,GUY
20k,
130k,HND
905,
1.23M,HRV
500k,HTI
3.25M,HUN
16.1M,IDN
201M,IND
5.25M,IRL
6M,IRN
1M,IRQ
61.4k,ISL
210k,ISR
19M,ITA
300k,JAM
200k,JOR
28M,JPN
2.04M,KAZ
2.57M,KEN
530k,
2.09M,KHM
17.9k,KIR
17.2k,
9.39M,KOR
81.3k,KWT
470k,
300k,LBN
314k,LBR
230k,LBY
24k,
5800,LIE
1.75M,LKA
276k,LSO
779k,LTU
127k,LUX
591k,LVA
2.5M,MAR
7790,MCO
713k,MDA
1.5M,MDG
42.4k,MDV
5.1M,MEX
5830,MHL
392k,MKD
1.4M,MLI
134k,MLT
6M,MMR
127k,MNE
600k,MNG
2M,MOZ
383k,MRT
59k,MUS
737k,MWI
287k,MYS
229k,NAM
853k,NER
12.1M,NGA
186k,NIC
2M,NLD
900k,NOR
4M,NPL
1830,NRU
200k,NZL
300k,OMN
13.1M,PAK
75.6k,PAN
1.27M,PER
2.5M,PHL
3880,PLW
755k,PNG
9M,POL
4.34M,
2.75M,PRT
300k,PRY
166k,
14.1k,QAT
5.5M,ROU
31.3M,RUS
928k,RWA
2M,SAU
3.99M,SDN
1.01M,SEN
30k,SGP
57k,SLB
794k,SLE
248k,SLV
5490,SMR
989k,SOM
2.15M,SRB
1.03M,SSD
22.7k,STP
80.7k,SUR
2.14M,
470k,SVN
2.5M,SWE
86k,SWZ
12.5k,SYC
1.25M,SYR
1.43M,TCD
446k,TGO
3M,THA
467k,TJK
367k,TKM
137k,TLS
18.7k,TON
20k,TTO
800k,TUN
9.76M,TUR
2500,TUV
2M,TWN
3M,TZA
2.5M,UGA
11.2M,UKR
55k,URY
6M,USA
1.92M,UZB
25.8k,VCT
1M,VEN
4M,VNM
27.8k,VUT
47.3k,WSM
2.59M,YEM
1.45M,ZAF
747k,ZMB
1.09M,ZWE
3.28M,AFG
1.57M,AGO
402k,ALB
2650,AND
40.2k,ARE
520k,ARG
413k,ARM
37k,ATG
205k,AUS
3.02M,AUT
880k,AZE
899k,BDI
3.26M,BEL
637k,BEN
1.67M,BFA
19.2M,BGD
2.25M,BGR
64.5k,BHR
27.4k,BHS
852k,BIH
2.36M,BLR
25.5k,BLZ
897k,BOL
2.57M,BRA
81.7k,BRB
2260,BRN
392k,BTN
121k,BWA
479k,CAF
512k,CAN
1.76M,CHE
771k,CHL
332M,CHN
1.09M,
1.86M,CMR
5.16M,
314k,
1.21M,COL
56.3k,COM
55.7k,CPV
53.5k,CRI
293k,CUB
184k,CYP
5.52M,CZE
18.3M,DEU
22.8k,DJI
19.9k,DMA
1.01M,DNK
146k,DOM
2.51M,DZA
500k,ECU
3.53M,EGY
205k,ERI
11.5M,ESP
334k,EST
12M,ETH
815k,FIN
131k,FJI
29.1M,FRA
16.4k,
158k,GAB
10.9M,GBR
1.07M,GEO
2.02M,GHA
984k,GIN
103k,GMB
218k,GNB
80.4k,GNQ
2.25M,GRC
29.4k,GRD
469k,GTM
166k,GUY
20k,
130k,HND
905,
1.23M,HRV
509k,HTI
3.29M,HUN
16.2M,IDN
201M,IND
5.33M,IRL
6.03M,IRN
1M,IRQ
61.4k,ISL
210k,ISR
19.1M,ITA
304k,JAM
201k,JOR
28.1M,JPN
2.04M,KAZ
2.59M,KEN
530k,
2.09M,KHM
17.9k,KIR
17.2k,
9.39M,KOR
81.3k,KWT
470k,
302k,LBN
314k,LBR
230k,LBY
24k,
5800,LIE
1.72M,LKA
276k,LSO
779k,LTU
127k,LUX
591k,LVA
